##var,id,name,category,quality,max_stack,icon,description
##type,string,string,EItemCategory,int,int,string,string
##,id,name,category,quality,max_stack,icon,description
,halo_helm,光环头盔,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,提供能量护盾的战术头盔
,pulse_gauntlets,脉冲手甲,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/electric.png,提升近战输出的脉冲手甲
,arc_bracers,电弧臂铠,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/electric.png,强化雷属性攻击的重型臂铠
,reactor_charm,反应堆护符,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,微型反应堆驱动的能量护符
,holo_badge,全息徽章,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,投射战术全息界面的身份徽章
,ember_edge,余烬刃,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,火属性近战武器，命中可叠加燃烧
,cinder_guard,灰烬护甲,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,抵御火焰并强化燃烧联动的护甲
,flare_steps,炽焰战靴,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,闪避后留下灼热余焰的战靴
,ash_visor,灰烬目镜,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,强化对燃烧目标侦测的目镜
,phoenix_core,凤凰核心,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,低生命值时提供护盾的火属性饰品
,tide_blade,潮汐刃,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,水属性近战武器，命中可施加潮湿
,abyssal_shell,深渊外壳,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,强化潮湿状态和水属性防护的护甲
,ripple_boots,涟漪战靴,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,闪避后获得流动强化的战靴
,mist_visor,雾隐目镜,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,攻击潮湿目标时制造雾幕的目镜
,aqua_orbit,海蓝轨道,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,攻击潮湿目标时回复生命的水属性饰品
,gale_fang,疾风獠牙,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,风属性武器，命中叠加风痕
,skyward_frame,天穹框架,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,闪避后获得气流强化的护甲
,zephyr_steps,西风跃行靴,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,降低冲刺消耗并强化落地攻击的战靴
,aero_visor,气流目镜,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,提高风痕目标受到风伤的目镜
,cyclone_charm,旋风护符,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,风痕满层时触发旋风的饰品
,seismic_maul,震岳锤,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,地属性武器，命中叠加破碎
,granite_bastion,花岗壁垒,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,受到高额伤害时生成护盾的重甲
,faultline_greaves,断层护胫,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,闪避和落地后强化削韧的战靴
,bedrock_helm,基岩头盔,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,高生命值时提高防御的头盔
,geode_seal,晶核徽记,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,消耗破碎标记触发爆发的饰品
,city_token,城市场景代币,QUEST,1,999,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,可在训练区兑换奖励
,neon_capacitor,霓虹电容,MATERIAL,2,50,Assets/Arts/UI/Icons/GameIcons/electric.png,城市能源装置掉落的强化材料
,emergency_core,应急核心,CONSUMABLE,4,5,Assets/Arts/UI/Icons/GameIcons/orbital.png,紧急恢复与任务兑换使用的核心道具
,training_grenade,训练手雷,CONSUMABLE,3,5,Assets/Arts/UI/Icons/GameIcons/orbital.png,对范围内敌人造成伤害的主动道具
,flame_grenade,烈焰手雷,CONSUMABLE,4,5,Assets/Arts/UI/Icons/GameIcons/orbital.png,火属性范围伤害并叠加燃烧标记
,tide_grenade,潮汐手雷,CONSUMABLE,4,5,Assets/Arts/UI/Icons/GameIcons/orbital.png,水属性范围伤害并施加潮湿标记
,gale_grenade,风暴手雷,CONSUMABLE,4,5,Assets/Arts/UI/Icons/GameIcons/orbital.png,风属性范围伤害并叠加风痕
,seismic_grenade,震岳手雷,CONSUMABLE,5,5,Assets/Arts/UI/Icons/GameIcons/orbital.png,地属性范围伤害并叠加破碎标记
,earth_guard_kit,岩铠护符,CONSUMABLE,5,3,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,短时间降低受到的地属性伤害
,gravity_core,重力诱导器,CONSUMABLE,4,3,Assets/Arts/UI/Icons/GameIcons/orbital.png,投掷后生成重力井，把附近敌人持续拉向中心
,cryo_beacon,极寒信标,CONSUMABLE,5,3,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,释放冰霜脉冲，冻结范围内敌人五秒
